angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,gesture
156.77561957496178,143.56302420002388,133.25492487718446,128.5640557196245,114.7604424033835,135.08985666406298,137.0565847916767,26.066859539630727,156.37422871652822,150.6306029763694,27.28667093554617,163.3508945633533,141.94915343190328,33.34383550628086,162.92661265316045,rock
156.49257557935908,143.10401596296182,133.49353408479382,127.09416362202526,108.15042233433152,131.828378713026,136.41295809162767,25.46063304120296,156.8409190403511,150.47276485010542,27.142981770956144,163.76418346423466,140.9565053927913,33.1732617817693,163.1366530126482,rock
156.3259845364608,142.16039538239767,135.37633570624456,126.61030898944571,99.87192669744667,130.08028982777378,136.2154456526928,28.851335171784676,155.1506112406769,150.45104238960818,27.451945811529423,163.38969158912118,141.47807835770652,33.542043293764365,162.71944777150486,rock
157.0300836669711,142.71109867159467,135.29780222667864,127.19790592615328,123.71821752774164,133.81717618712327,135.57499658432823,24.249458358890525,157.90682858919996,149.31291395322413,28.26168414476269,163.1077557359379,140.18140472813272,35.152746026258306,161.8185157668073,rock
155.8849558277002,142.49735637058126,135.97506436970357,126.08779841734066,81.01859794138204,134.78089878297934,135.61067619454374,28.409033923153892,156.43192683001013,149.40871532409972,26.025432172345976,164.8807226761115,140.47857413760025,30.647348252239315,164.42690905336292,rock
156.24073021731738,142.46467353277666,133.04278848937517,124.12188400981691,78.13398647391188,132.80819304925697,134.11253900766533,27.894371462764134,156.18656093450267,148.42138911959745,24.71243840521341,165.76476080380365,140.35649975569885,26.784042050836725,167.36691298334182,rock
156.8787896300023,141.4251537049446,133.84909600167714,122.4923875110754,88.91097000621505,128.68824284860904,129.28120097893031,36.925942830828085,147.11369623074953,146.8729307227253,24.71414862127926,163.14187335776305,144.31701769066294,20.033423972094393,168.8385458032759,rock
158.86292238465282,141.8013027131863,137.85588405878505,114.36057803494103,86.26729387630346,127.52198873583731,118.80538167968653,52.378678096529164,133.9319744246198,137.4328793050558,34.06522076342061,150.51574078063177,147.90011575136063,22.862690313125245,157.7868939898938,rock
159.93823091860804,142.12352219915905,135.31542960414447,108.29189716987686,83.85392721811367,125.40036211599949,108.93850146273297,62.223128395271075,124.93475061078911,125.69476678318853,44.543358132845405,137.809808699164,142.1708467831351,35.1262016684348,142.51676614995765,rock
160.59294486728697,148.59935986091514,162.01337082850787,104.12188849843649,92.98371234855473,124.83147946578012,97.21031631556772,78.82693041222653,108.99948186542356,108.27395784758731,63.73644070401509,119.11500605522122,129.17771424279857,59.97682934671401,122.61268608459257,rock
174.5186030528883,157.43899908218586,162.35905697697595,91.73148103876277,99.42496585156124,112.67206102756622,82.71947071326737,87.9536262041228,99.52541127726,87.21873473981486,74.64726479595944,109.3441796136888,101.81052853722541,69.26475810194174,114.40111249895077,rock
153.62473131094637,173.779693888369,151.23954079951253,96.01957489654113,98.88602195697067,127.56199087991308,74.83104207722283,102.4902577546738,100.85823051653651,72.62752554968172,97.94029597468409,105.97665391100722,74.49382188731592,109.2452908583196,106.78114568573805,rock
160.1179759331584,171.77810087614074,140.96298179420214,89.49004109984425,111.52751151048871,137.4184581903722,69.13052187919114,113.07915468982551,94.21470100808047,59.219553260164204,111.20969061131561,93.1243641912823,55.668209010457716,119.87724893274654,98.55209431747079,rock
159.97341773801259,169.74640619737127,129.60793451273224,95.21796507250646,98.60631617707365,120.44944336571504,72.76441742107944,104.05390634589561,91.3423956014184,64.78262672151563,103.06460284002739,93.66226444156858,62.15821630323797,110.25679933982626,98.72955385831328,rock
157.85757799359303,165.4940283647288,128.02235802371573,94.68577319639284,96.44664966332101,107.04756127207149,72.0153557602408,101.88002290607929,80.97031498337267,64.21345713505545,100.46101111365208,84.17311130510681,63.15333525640324,104.4414989308275,87.94952701517968,rock
158.14653011638683,167.433946999767,120.95925688397,90.27039960135106,100.00356796711975,100.57167254706842,68.45591711089483,105.19776115611478,75.76696256501229,61.621553868366256,103.61086903234099,79.83837922977543,61.11665416588757,109.76359657742975,83.31051310107155,rock
155.46665734562418,168.0556775979142,121.72164155886466,91.72165949801028,101.4906640752967,105.01955582208795,67.31155006560215,108.8610170424869,73.8596601939573,59.59995473847843,106.97967608182225,78.95316111261775,59.29252011775359,112.62506031431674,83.21676327747775,rock
